Rk,Team,Conf,AdjOE,AdjDE,Barthag,Ret Mins,RPMs,Talent,Exp.,Trans.
,,,81,28,,,,,,
56,Kansas St.,B12,111.2,97.2,0.8239,8.00%,6.70%,42.3,2.15,357
,,,60,47,,,,,,
57,West Virginia,B12,110.6,97.1,0.8177,0.00%,0.00%,26.8,2.6,340
,,,67,44,,,,,,
58,TCU,B12,110.9,97.4,0.8162,28.30%,27.10%,53.4,1.75,323
,,,62,50,,,,,,
59,Providence,BE,113.6,99.9,0.8153,41.20%,36.00%,41.5,2.34,386
,,,42,89,,,,,,
60,George Washington,A10,113.6,100.2,0.8096,51.40%,48.40%,19.4,2.12,283
,,,43,96,,,,,,
61,Utah,B12,111.7,98.5,0.8082,9.00%,8.60%,31,1.94,336
,,,57,66,,,,,,
62,Xavier,BE,110.5,97.8,0.8038,1.50%,1.80%,33.2,1.99,321
,,,69,57,,,,,,
63,South Florida,Amer,112.4,99.5,0.8026,18.10%,14.70%,43.5,2.62,369
,,,53,79,,,,,,
64,Syracuse,ACC,114.8,101.7,0.8,26.50%,25.90%,59.1,1.69,255
,,,30,119,,,,,,
65,Utah St.,MWC,113.4,100.7,0.7963,48.50%,49.60%,13.2,2.44,184
,,,47,103,,,,,,
66,San Francisco,WCC,109.3,97.4,0.7901,42.00%,35.20%,26.5,2.05,186
,,,79,48,,,,,,
67,Notre Dame,ACC,110.8,99,0.7843,53.50%,55.30%,66.1,1.68,52
,,,66,72,,,,,,
68,LSU,SEC,111.7,100,0.7803,18.40%,8.90%,51.5,2.24,302
,,,56,94,,,,,,
69,Northwestern,B10,108.3,97.1,0.7782,49.70%,47.50%,32.7,1.95,117
,,,93,43,,,,,,
70,Arizona St.,B12,110,98.8,0.7752,2.20%,1.60%,28.1,2.25,309
,,,71,69,,,,,,
71,DePaul,BE,111.6,100.3,0.7735,35.90%,40.50%,44.6,2.4,240
,,,58,98,,,,,,
72,Georgetown,BE,110.8,99.6,0.7735,30.80%,27.40%,59.6,2.15,342
,,,65,82,,,,,,
73,Memphis,Amer,109.3,98.3,0.7715,0.00%,0.00%,52.2,2.29,577
,,,82,63,,,,,,
74,UNLV,MWC,110.8,99.9,0.7669,1.90%,1.50%,44.2,2.08,350
,,,64,91,,,,,,
75,Virginia Tech,ACC,111.1,100.3,0.7651,46.50%,44.40%,50.3,1.73,212
,,,61,97,,,,,,
76,Pittsburgh,ACC,110.9,100.1,0.7644,24.50%,22.40%,62.2,2.03,243
,,,63,95,,,,,,
77,Saint Louis,A10,110.6,100.8,0.745,47.70%,45.90%,20.3,2.33,315
,,,68,105,,,,,,
78,Butler,BE,110.5,100.9,0.7411,15.20%,14.40%,42.3,2.1,247
,,,70,107,,,,,,
79,Wake Forest,ACC,109.2,99.8,0.738,11.10%,9.60%,38,1.92,300
,,,84,86,,,,,,
80,UCF,B12,108.7,99.4,0.7361,0.00%,0.10%,45.2,2.49,370
,,,86,77,,,,,,
81,Minnesota,B10,109.2,100,0.7332,12.10%,9.00%,11.1,2.06,349
,,,83,93,,,,,,
82,Florida St.,ACC,108.4,99.5,0.7298,10.10%,7.60%,28.1,1.83,275
,,,91,78,,,,,,
83,Georgia Tech,ACC,107.2,98.4,0.7287,26.30%,27.60%,81.3,1.44,184
,,,104,64,,,,,,
84,Grand Canyon,MWC,108.3,99.7,0.7211,19.90%,19.60%,35.1,2.48,327
,,,94,84,,,,,,
85,California,ACC,109.9,101.4,0.7145,32.40%,27.30%,40.1,2.74,283
,,,73,114,,,,,,
86,Santa Clara,WCC,108,99.8,0.7132,29.80%,27.60%,42.7,1.7,83
,,,96,88,,,,,,
87,Colorado St.,MWC,106.9,98.8,0.712,17.70%,15.90%,25.9,1.97,226
,,,112,70,,,,,,
88,Liberty,CUSA,106.6,98.6,0.7119,45.50%,42.50%,22.3,2.35,57
,,,115,67,,,,,,
89,Loyola Chicago,A10,107.7,99.6,0.711,34.90%,24.80%,33.7,2.27,254
,,,98,83,,,,,,
90,New Mexico,MWC,105.9,98.1,0.7067,0.00%,0.00%,27.2,2.27,251
,,,130,61,,,,,,
91,Yale,Ivy,108.6,100.7,0.7034,62.20%,56.40%,10.8,1.93,0
,,,88,104,,,,,,
92,North Texas,Amer,105,97.5,0.6998,0.10%,0.10%,18.4,2.35,331
,,,140,51,,,,,,
93,Akron,MAC,109.8,102.3,0.6931,40.30%,41.80%,14.7,2.43,115
,,,74,127,,,,,,
94,Rutgers,B10,106.3,99.1,0.6913,24.50%,15.80%,43.3,1.64,131
,,,123,73,,,,,,
95,Illinois St.,MVC,112.6,105.1,0.6888,56.60%,61.40%,4.6,2.26,42
,,,50,192,,,,,,
96,Oregon St.,WCC,109,101.9,0.6862,28.40%,21.50%,2.3,2.11,233
,,,85,123,,,,,,
97,Dayton,A10,106.5,99.6,0.6857,31.70%,28.20%,14.5,1.75,191
,,,117,81,,,,,,
98,Colorado,B12,105.7,98.8,0.6847,22.60%,22.10%,47.4,0.9,72
,,,133,71,,,,,,
99,Saint Joseph's,A10,104.6,97.9,0.682,48.60%,40.30%,52.2,1.85,131
,,,144,60,,,,,,
100,Stanford,ACC,106.1,99.5,0.6764,53.80%,41.30%,43.4,1.65,0
,,,124,80,,,,,,
Rk,Team,Conf,AdjOE,AdjDE,Barthag,Ret Mins,RPMs,Talent,Exp.,Trans.
101,Bradley,MVC,107.1,100.5,0.6742,28.20%,29.20%,11.2,2.15,124
,,,107,100,,,,,,
102,George Mason,A10,105.8,99.4,0.6727,14.50%,14.30%,13.2,2.59,322
,,,132,75,,,,,,
103,McNeese St.,Slnd,104.1,97.8,0.672,18.40%,15.20%,37.6,1.9,226
,,,156,59,,,,,,
104,Boston College,ACC,109.3,102.8,0.6707,36.30%,37.80%,60.4,1.85,214
,,,78,140,,,,,,
105,Northern Iowa,MVC,106.9,100.6,0.6682,72.10%,59.00%,22.1,2.2,39
,,,109,102,,,,,,
106,South Carolina,SEC,106.6,100.3,0.6671,18.30%,9.60%,57.8,2.36,276
,,,116,99,,,,,,
107,Miami OH,MAC,108.5,102.4,0.6617,66.70%,65.60%,10.6,1.91,38
,,,89,132,,,,,,
108,UC Irvine,BW,104.1,98.2,0.6609,30.40%,23.20%,13.5,1.19,94
,,,155,62,,,,,,
109,Duquesne,A10,107.4,101.8,0.6491,60.20%,55.10%,9.7,2.63,140
,,,103,121,,,,,,
110,High Point,BSth,107.5,102,0.6464,4.20%,3.20%,15.4,2.64,433
,,,101,124,,,,,,
111,Belmont,MVC,108.3,102.9,0.6441,47.60%,37.90%,4.2,2.06,65
,,,92,141,,,,,,
112,Seton Hall,BE,107.1,101.8,0.642,15.00%,10.60%,30.3,2.45,471
,,,106,120,,,,,,
113,UC Santa Barbara,BW,109.3,104.2,0.6342,29.90%,27.30%,48.9,2.18,240
,,,80,169,,,,,,
114,Penn St.,B10,104.3,99.4,0.6335,15.80%,17.00%,69.2,1.12,33
,,,150,76,,,,,,
115,Kennesaw St.,CUSA,106.9,102.2,0.6265,63.70%,60.60%,22.9,1.95,80
,,,111,125,,,,,,
116,Tulane,Amer,107.5,102.9,0.6214,57.90%,63.60%,51.5,2.13,160
,,,102,143,,,,,,
117,Seattle,WCC,103,99.3,0.6051,54.90%,51.00%,12.6,2.39,55
,,,180,74,,,,,,
118,New Mexico St.,CUSA,106.1,102.4,0.6005,8.50%,7.00%,0,2.56,301
,,,127,130,,,,,,
119,UNC Wilmington,CAA,106.1,102.6,0.5956,34.50%,27.50%,11.9,2.73,297
,,,126,137,,,,,,
120,Abilene Christian,WAC,104,100.6,0.595,53.80%,52.80%,22,2.36,21
,,,157,101,,,,,,
121,Hawaii,BW,106.1,102.7,0.5933,17.90%,15.60%,5.1,2.6,331
,,,125,139,,,,,,
122,Wichita St.,Amer,105.8,102.4,0.5931,1.30%,1.10%,4.4,2.2,346
,,,131,133,,,,,,
123,Utah Valley,WAC,103.1,100,0.5886,27.30%,22.00%,4.7,1.79,206
,,,178,92,,,,,,
124,UAB,Amer,104.9,101.8,0.5857,0.50%,0.10%,27.2,2.36,363
,,,141,122,,,,,,
125,Arkansas St.,SB,103.9,100.8,0.5851,0.00%,0.00%,10.6,2.06,294
,,,161,106,,,,,,
126,Radford,BSth,107.9,104.7,0.5842,4.30%,5.90%,27.6,2.11,398
,,,97,182,,,,,,
127,Temple,Amer,108,104.9,0.5842,30.80%,22.70%,34.8,2.48,378
,,,95,186,,,,,,
128,Murray St.,MVC,105.5,102.5,0.5826,0.20%,0.10%,41.2,2.2,349
,,,136,134,,,,,,
129,Kent St.,MAC,104.2,101.4,0.5783,36.40%,33.20%,15.4,2.12,148
,,,152,113,,,,,,
